"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2012년 09월 21일","263.41","263.26","264.05","262.16","75.21K","0.59%"
"2012년 09월 20일","261.87","262.87","263.93","261.54","86.26K","-0.97%"
"2012년 09월 19일","264.44","263.44","265.34","262.55","86.34K","0.07%"
"2012년 09월 18일","264.25","263.39","264.56","263.05","71.05K","0.11%"
"2012년 09월 17일","263.97","264.79","265.63","263.48","105.93K","-0.40%"
"2012년 09월 14일","265.02","263.14","265.30","262.68","155.89K","3.17%"
"2012년 09월 13일","256.87","256.68","257.54","255.08","78.98K","-0.03%"
"2012년 09월 12일","256.95","254.35","257.40","253.78","70.23K","1.67%"
"2012년 09월 11일","252.73","252.72","253.32","251.48","54.59K","-0.26%"
"2012년 09월 10일","253.38","254.80","255.29","253.38","60.20K","-0.25%"
"2012년 09월 07일","254.02","252.16","254.02","251.79","99.42K","2.93%"
"2012년 09월 06일","246.79","246.79","247.77","245.68","61.61K","0.42%"
"2012년 09월 05일","245.75","248.73","248.77","245.75","74.32K","-1.92%"
"2012년 09월 04일","250.56","251.03","251.81","250.22","67.61K","-0.27%"
"2012년 09월 03일","251.23","250.97","252.65","247.36","72.08K","0.27%"
"2012년 08월 31일","250.56","249.58","251.78","249.52","77.43K","-0.16%"
"2012년 08월 30일","250.96","253.29","253.39","249.65","70.44K","-1.28%"
"2012년 08월 29일","254.22","253.09","254.64","252.31","72.30K","0.65%"
"2012년 08월 28일","252.57","253.46","254.12","251.83","66.76K","-0.08%"
"2012년 08월 27일","252.77","251.65","253.95","251.34","83.96K","-0.38%"
"2012년 08월 24일","253.73","254.12","254.92","252.95","73.62K","-1.38%"
"2012년 08월 23일","257.28","256.06","257.32","254.60","67.35K","0.42%"
"2012년 08월 22일","256.21","256.90","258.07","253.79","70.27K","-0.50%"
"2012년 08월 21일","257.50","259.19","260.20","257.43","66.82K","-0.21%"
"2012년 08월 20일","258.03","257.65","258.57","256.64","60.97K","-0.07%"
"2012년 08월 17일","258.20","260.92","261.08","257.60","76.69K","-0.72%"
"2012년 08월 16일","260.08","260.03","260.56","258.59","78.94K","-0.01%"
"2012년 08월 14일","260.11","258.14","260.30","257.62","79.68K","1.35%"
"2012년 08월 13일","256.65","258.71","258.76","256.63","53.30K","-0.87%"
"2012년 08월 10일","258.91","257.59","259.12","257.17","74.30K","0.32%"
"2012년 08월 09일","258.08","253.34","259.11","253.34","124.58K","2.07%"
"2012년 08월 08일","252.84","251.80","255.13","251.74","119.79K","0.98%"
"2012년 08월 07일","250.39","250.04","251.14","249.66","75.16K","0.01%"
"2012년 08월 06일","250.36","249.92","251.74","249.67","79.22K","2.27%"
"2012년 08월 03일","244.81","244.57","247.13","244.17","72.68K","-1.25%"
"2012년 08월 02일","247.90","250.15","250.43","247.23","81.37K","-0.68%"
"2012년 08월 01일","249.60","248.42","250.83","247.95","84.48K","-0.19%"
"2012년 07월 31일","250.08","244.83","252.53","244.39","101.31K","2.25%"
"2012년 07월 30일","244.58","244.80","245.35","244.08","63.84K","0.97%"
"2012년 07월 27일","242.23","239.64","242.23","238.72","72.05K","2.93%"
"2012년 07월 26일","235.33","234.75","236.02","233.04","67.56K","0.79%"
"2012년 07월 25일","233.49","231.90","235.78","231.68","69.16K","-1.34%"
"2012년 07월 24일","236.65","235.19","237.04","234.77","69.33K","0.38%"
"2012년 07월 23일","235.75","236.89","236.91","234.36","63.95K","-1.91%"
"2012년 07월 20일","240.35","240.59","241.49","239.80","69.46K","-0.04%"
"2012년 07월 19일","240.44","240.09","241.53","239.41","78.78K","1.70%"
"2012년 07월 18일","236.42","240.11","241.10","235.61","81.57K","-1.57%"
"2012년 07월 17일","240.19","238.07","242.21","237.15","68.35K","0.33%"
"2012년 07월 16일","239.39","239.81","240.11","237.92","53.36K","0.26%"
"2012년 07월 13일","238.77","235.49","239.98","233.58","77.88K","1.75%"
"2012년 07월 12일","234.66","240.49","241.06","234.66","76.19K","-2.36%"
"2012년 07월 11일","240.34","240.37","240.69","238.66","54.51K","-0.22%"
"2012년 07월 10일","240.88","242.81","243.14","240.01","56.65K","-0.35%"
"2012년 07월 09일","241.73","242.36","242.92","241.26","52.02K","-1.36%"
"2012년 07월 06일","245.07","247.93","248.36","243.91","57.04K","-1.05%"
"2012년 07월 05일","247.67","247.01","248.01","246.49","65.16K","-0.04%"
"2012년 07월 04일","247.76","247.88","248.83","247.32","69.95K","0.39%"
"2012년 07월 03일","246.80","245.47","247.24","245.37","79.93K","0.96%"
"2012년 07월 02일","244.46","246.35","246.63","244.42","64.21K","-0.18%"
"2012년 06월 29일","244.90","238.46","244.90","237.42","74.22K","2.05%"
"2012년 06월 28일","239.98","241.07","241.24","238.09","50.74K","0.05%"
"2012년 06월 27일","239.85","239.31","240.39","236.60","62.42K","0.07%"
"2012년 06월 26일","239.68","239.81","241.00","239.18","55.10K","-0.44%"
"2012년 06월 25일","240.75","243.37","243.37","239.19","61.38K","-1.39%"
"2012년 06월 22일","244.15","246.57","246.92","243.74","67.33K","-2.52%"
"2012년 06월 21일","250.46","251.59","252.31","249.22","60.71K","-0.97%"
"2012년 06월 20일","252.92","253.59","253.59","251.71","65.36K","0.64%"
"2012년 06월 19일","251.31","250.50","251.70","250.00","53.49K","-0.02%"
"2012년 06월 18일","251.37","251.43","252.69","250.57","77.07K","1.95%"
"2012년 06월 15일","246.57","248.52","248.54","245.09","86.49K","-0.82%"
"2012년 06월 14일","248.62","246.70","248.62","246.43","78.57K","0.62%"
"2012년 06월 13일","247.08","248.14","248.14","245.64","55.17K","0.26%"
"2012년 06월 12일","246.43","244.62","246.99","244.55","55.95K","-0.75%"
"2012년 06월 11일","248.30","247.30","248.55","247.12","71.41K","1.89%"
"2012년 06월 08일","243.69","246.34","246.39","243.30","55.11K","-0.74%"
"2012년 06월 07일","245.51","244.10","246.16","244.10","78.82K","2.81%"
"2012년 06월 05일","238.79","238.54","239.47","237.36","60.18K","1.05%"
"2012년 06월 04일","236.30","235.91","237.51","235.37","85.76K","-2.75%"
"2012년 06월 01일","242.98","242.45","244.03","240.97","53.50K","-0.44%"
"2012년 05월 31일","244.05","241.17","244.05","240.16","70.50K","-0.26%"
"2012년 05월 30일","244.68","244.68","244.92","242.27","71.99K","-0.24%"
"2012년 05월 29일","245.26","241.14","245.67","240.49","67.50K","1.51%"
"2012년 05월 25일","241.60","241.06","242.92","240.36","58.90K","0.45%"
"2012년 05월 24일","240.51","239.44","240.72","238.43","56.79K","0.31%"
"2012년 05월 23일","239.76","240.70","240.71","237.93","71.29K","-1.20%"
"2012년 05월 22일","242.66","242.38","243.04","240.58","87.08K","1.69%"
"2012년 05월 21일","238.62","238.61","239.41","237.02","73.32K","1.17%"
"2012년 05월 18일","235.85","240.12","240.14","235.46","114.55K","-3.53%"
"2012년 05월 17일","244.48","244.15","246.21","242.52","113.90K","0.23%"
"2012년 05월 16일","243.93","250.63","250.88","243.79","92.63K","-3.33%"
"2012년 05월 15일","252.32","251.97","253.08","250.24","87.80K","-0.70%"
"2012년 05월 14일","254.11","254.07","255.02","252.30","64.48K","0.04%"
"2012년 05월 11일","254.00","256.97","256.97","253.91","66.78K","-1.51%"
"2012년 05월 10일","257.89","258.00","259.01","256.94","67.64K","-0.35%"
"2012년 05월 09일","258.79","259.88","260.46","258.22","71.96K","-0.89%"
"2012년 05월 08일","261.12","261.28","261.62","260.35","56.95K","0.54%"
"2012년 05월 07일","259.73","259.71","260.29","259.10","68.58K","-1.77%"
"2012년 05월 04일","264.40","264.72","265.41","263.72","69.56K","-0.62%"
"2012년 05월 03일","266.05","266.05","266.70","265.35","69.30K","-0.21%"
"2012년 05월 02일","266.61","266.10","267.01","265.35","89.92K","0.85%"
"2012년 04월 30일","264.35","265.40","265.67","263.70","83.13K","0.35%"
"2012년 04월 27일","263.43","262.70","264.48","262.30","75.94K","0.73%"
"2012년 04월 26일","261.51","262.89","263.25","260.28","73.18K","0.26%"
"2012년 04월 25일","260.82","263.24","263.24","260.72","68.59K","0.02%"
"2012년 04월 24일","260.76","259.47","261.82","259.22","66.41K","-0.34%"
"2012년 04월 23일","261.66","261.31","262.80","260.34","52.14K","-0.07%"
"2012년 04월 20일","261.84","263.79","263.83","261.25","66.07K","-1.41%"
"2012년 04월 19일","265.58","265.60","266.86","264.74","62.06K","-0.24%"
"2012년 04월 18일","266.22","267.39","267.51","265.72","66.99K","1.10%"
"2012년 04월 17일","263.32","264.72","265.43","263.02","58.81K","-0.44%"
"2012년 04월 16일","264.49","263.58","265.40","263.28","57.34K","-0.89%"
"2012년 04월 13일","266.86","265.95","267.27","265.11","75.46K","1.10%"
"2012년 04월 12일","263.95","263.88","263.95","261.47","73.63K","-0.54%"
"2012년 04월 10일","265.38","266.48","267.81","264.83","71.71K","-0.19%"
"2012년 04월 09일","265.88","266.95","267.24","265.44","76.05K","-1.51%"
"2012년 04월 06일","269.97","269.54","270.41","268.96","81.24K","0.00%"
"2012년 04월 05일","269.96","266.69","270.33","265.48","84.36K","0.61%"
"2012년 04월 04일","268.33","272.13","272.48","267.98","94.92K","-1.52%"
"2012년 04월 03일","272.46","270.66","272.83","270.31","89.68K","1.29%"
"2012년 04월 02일","268.99","267.72","269.36","266.80","67.19K","0.90%"
"2012년 03월 30일","266.58","266.50","267.22","265.19","84.30K","-0.21%"
"2012년 03월 29일","267.13","267.87","268.72","266.15","81.47K","-0.93%"
"2012년 03월 28일","269.64","269.86","270.55","269.07","74.42K","-0.40%"
"2012년 03월 27일","270.71","270.62","270.87","268.97","79.63K","1.23%"
"2012년 03월 26일","267.41","269.13","270.06","266.43","73.54K","-0.20%"
"2012년 03월 23일","267.95","266.36","268.44","266.15","74.56K","-0.01%"
"2012년 03월 22일","267.98","267.60","268.45","266.44","83.24K","0.07%"
"2012년 03월 21일","267.79","268.14","269.46","266.90","80.32K","-0.70%"
"2012년 03월 20일","269.68","270.20","271.59","268.74","91.83K","-0.22%"
"2012년 03월 19일","270.27","269.01","270.61","268.58","88.41K","0.75%"
"2012년 03월 16일","268.27","271.39","271.48","268.22","95.68K","-0.55%"
"2012년 03월 15일","269.76","269.81","270.61","269.05","94.16K","-0.03%"
"2012년 03월 14일","269.85","270.47","271.68","269.85","106.30K","1.11%"
"2012년 03월 13일","266.90","265.10","267.74","265.10","95.56K","1.20%"
"2012년 03월 12일","263.74","265.67","265.74","263.60","82.96K","-0.71%"
"2012년 03월 09일","265.62","265.27","266.33","263.18","87.94K","1.05%"
"2012년 03월 08일","262.85","261.23","263.55","259.65","101.65K","0.96%"
"2012년 03월 07일","260.35","258.65","261.17","258.32","76.95K","-0.95%"
"2012년 03월 06일","262.85","265.25","265.94","261.20","89.75K","-0.72%"
"2012년 03월 05일","264.75","266.56","266.90","264.12","79.27K","-1.01%"
"2012년 03월 02일","267.45","268.64","269.50","267.27","101.55K","0.12%"
"2012년 02월 29일","267.13","265.06","267.68","265.03","110.71K","1.40%"
"2012년 02월 28일","263.45","262.19","263.93","261.80","104.87K","0.82%"
"2012년 02월 27일","261.30","264.21","264.33","260.76","88.07K","-1.47%"
"2012년 02월 24일","265.20","263.77","265.20","262.10","87.39K","0.61%"
"2012년 02월 23일","263.58","264.78","264.78","262.72","93.83K","-1.14%"
"2012년 02월 22일","266.63","264.88","266.69","264.55","99.18K","0.28%"
"2012년 02월 21일","265.89","265.41","266.89","263.50","104.15K","-0.02%"
"2012년 02월 20일","265.95","268.28","269.26","265.92","93.70K","0.05%"
"2012년 02월 17일","265.82","265.90","266.84","265.01","114.22K","1.50%"
"2012년 02월 16일","261.89","262.99","263.93","261.61","108.16K","-1.50%"
"2012년 02월 15일","265.88","263.76","266.13","263.69","124.83K","1.33%"
"2012년 02월 14일","262.38","261.69","263.08","261.32","128.32K","-0.14%"
"2012년 02월 13일","262.75","262.14","263.56","260.88","92.77K","0.60%"
"2012년 02월 10일","261.17","263.60","263.77","260.19","128.42K","-1.26%"
"2012년 02월 09일","264.50","261.99","264.50","259.28","146.87K","0.59%"
"2012년 02월 08일","262.94","260.26","262.94","259.96","157.65K","1.21%"
"2012년 02월 07일","259.80","259.37","260.26","258.41","169.72K","0.34%"
"2012년 02월 06일","258.93","261.65","262.00","257.65","133.30K","0.15%"
"2012년 02월 03일","258.53","259.95","260.09","257.06","114.44K","-0.70%"
"2012년 02월 02일","260.35","260.18","261.96","259.25","162.79K","1.28%"
"2012년 02월 01일","257.06","255.73","258.81","255.56","125.42K","0.06%"
"2012년 01월 31일","256.90","255.45","257.88","254.09","105.57K","0.66%"
"2012년 01월 30일","255.21","257.39","258.12","254.68","97.92K","-1.33%"
"2012년 01월 27일","258.65","258.01","258.88","256.38","103.44K","0.44%"
"2012년 01월 26일","257.52","258.05","258.49","256.49","92.23K","0.15%"
"2012년 01월 25일","257.14","256.22","260.07","256.10","109.03K","0.21%"
"2012년 01월 20일","256.61","252.28","256.94","252.28","137.41K","2.13%"
"2012년 01월 19일","251.27","250.60","251.34","249.15","117.02K","1.39%"
"2012년 01월 18일","247.82","247.57","248.81","246.68","108.64K","0.00%"
"2012년 01월 17일","247.81","245.79","247.82","245.76","114.95K","1.94%"
"2012년 01월 16일","243.10","243.34","243.70","240.88","77.77K","-0.89%"
"2012년 01월 13일","245.28","243.60","246.06","243.02","103.13K","0.75%"
"2012년 01월 12일","243.46","241.80","243.46","239.82","109.24K","1.09%"
"2012년 01월 11일","240.83","242.19","242.29","240.46","90.01K","-0.36%"
"2012년 01월 10일","241.69","240.07","242.69","239.89","101.26K","1.54%"
"2012년 01월 09일","238.02","238.88","238.99","235.95","81.89K","-1.06%"
"2012년 01월 06일","240.57","243.97","243.97","237.88","84.54K","-1.23%"
"2012년 01월 05일","243.56","244.58","245.50","243.25","90.10K","-0.28%"
"2012년 01월 04일","244.24","246.89","247.06","244.16","97.16K","-0.64%"
"2012년 01월 03일","245.82","241.56","245.82","241.56","91.37K","2.98%"
"2012년 01월 02일","238.70","239.04","239.96","236.81","67.45K","0.26%"
"2011년 12월 29일","238.08","236.87","239.55","235.70","63.99K","-0.03%"
"2011년 12월 28일","238.15","239.44","239.44","237.28","64.04K","-1.10%"
"2011년 12월 27일","240.79","242.69","243.91","236.43","77.86K","-0.76%"
"2011년 12월 26일","242.64","244.96","245.10","242.04","56.77K","-0.65%"
"2011년 12월 23일","244.22","243.26","244.95","243.06","82.08K","1.17%"
"2011년 12월 22일","241.40","240.50","241.40","239.67","57.91K","-0.05%"
"2011년 12월 21일","241.51","240.01","241.87","239.10","100.37K","3.28%"
"2011년 12월 20일","233.83","233.79","234.49","232.25","81.00K","0.90%"
"2011년 12월 19일","231.74","238.30","238.35","227.54","145.24K","-3.37%"
"2011년 12월 16일","239.82","237.85","240.13","237.22","102.23K","1.31%"
"2011년 12월 15일","236.72","239.15","240.02","236.48","100.33K","-2.32%"
"2011년 12월 14일","242.35","241.67","243.54","241.59","75.95K","-0.46%"
"2011년 12월 13일","243.48","245.44","245.87","243.48","104.58K","-2.04%"
"2011년 12월 12일","248.55","248.73","248.86","247.00","119.58K","1.48%"
"2011년 12월 09일","244.93","246.28","247.85","244.67","96.22K","-2.15%"
"2011년 12월 08일","250.31","250.26","252.40","248.47","117.83K","-0.50%"
"2011년 12월 07일","251.57","251.08","252.12","249.69","102.44K","0.84%"
"2011년 12월 06일","249.48","250.94","251.94","247.88","105.78K","-1.09%"
"2011년 12월 05일","252.22","252.87","253.02","250.52","77.10K","0.41%"
"2011년 12월 02일","251.19","251.23","252.04","249.95","98.22K","-0.13%"
"2011년 12월 01일","251.52","250.12","252.82","249.76","181.36K","4.28%"
"2011년 11월 30일","241.19","241.15","242.64","240.04","111.05K","-0.54%"
"2011년 11월 29일","242.50","238.40","242.61","237.77","122.98K","2.50%"
"2011년 11월 28일","236.59","235.09","236.86","233.87","94.26K","2.41%"
"2011년 11월 25일","231.03","231.11","232.78","229.74","118.20K","-0.99%"
"2011년 11월 24일","233.35","230.70","234.26","229.93","95.02K","0.72%"
"2011년 11월 23일","231.68","236.81","236.93","231.32","142.24K","-2.57%"
"2011년 11월 22일","237.80","233.80","238.46","233.71","82.98K","0.49%"
"2011년 11월 21일","236.64","238.54","238.54","235.32","78.29K","-1.17%"
"2011년 11월 18일","239.43","239.55","241.13","238.50","93.94K","-2.11%"
"2011년 11월 17일","244.60","242.87","244.84","239.09","100.81K","1.08%"
"2011년 11월 16일","241.98","247.71","249.60","241.44","112.96K","-1.72%"
"2011년 11월 15일","246.21","246.25","247.97","244.98","90.56K","-0.83%"
"2011년 11월 14일","248.27","246.40","249.02","246.37","98.63K","2.17%"
"2011년 11월 11일","242.99","239.79","243.05","237.35","101.27K","2.95%"
"2011년 11월 10일","236.02","243.07","243.38","236.02","156.66K","-5.30%"
"2011년 11월 09일","249.23","251.38","252.00","247.92","123.06K","0.37%"
"2011년 11월 08일","248.32","251.85","251.94","247.86","95.10K","-0.98%"
"2011년 11월 07일","250.78","252.66","252.66","250.14","97.70K","-0.62%"
"2011년 11월 04일","252.34","249.80","252.44","248.95","125.15K","3.38%"
"2011년 11월 03일","244.09","247.40","247.40","243.14","116.21K","-1.59%"
"2011년 11월 02일","248.03","244.87","248.28","243.24","123.60K","-0.76%"
"2011년 11월 01일","249.92","247.51","252.22","247.50","114.25K","0.02%"
"2011년 10월 31일","249.88","251.36","254.33","248.83","122.90K","-1.03%"
"2011년 10월 28일","252.47","256.42","256.88","251.40","202.22K","0.51%"
"2011년 10월 27일","251.20","249.00","251.50","246.96","162.71K","1.47%"
"2011년 10월 26일","247.56","244.87","247.90","243.73","113.16K","0.15%"
"2011년 10월 25일","247.20","248.41","249.18","246.43","129.31K","-0.41%"
"2011년 10월 24일","248.21","242.50","248.21","242.44","133.09K","3.41%"
"2011년 10월 21일","240.02","239.03","240.83","235.94","145.36K","1.89%"
"2011년 10월 20일","235.57","242.20","244.22","235.36","127.36K","-2.70%"
"2011년 10월 19일","242.11","241.50","242.11","239.09","125.27K","0.93%"
"2011년 10월 18일","239.89","238.47","240.98","237.99","127.07K","-1.48%"
"2011년 10월 17일","243.49","242.43","243.49","241.00","117.83K","1.59%"
"2011년 10월 14일","239.67","236.96","240.30","235.44","105.84K","0.66%"
"2011년 10월 13일","238.09","239.65","240.32","238.09","139.02K","0.60%"
"2011년 10월 12일","236.66","233.79","236.91","232.44","120.24K","0.79%"
"2011년 10월 11일","234.80","236.75","236.90","234.27","147.52K","1.72%"
"2011년 10월 10일","230.82","230.64","233.38","230.34","105.53K","0.24%"
"2011년 10월 07일","230.27","229.61","231.47","228.92","146.17K","2.83%"
"2011년 10월 06일","223.94","223.99","227.25","223.47","149.97K","3.04%"
"2011년 10월 05일","217.34","223.64","223.64","216.39","151.55K","-2.07%"
"2011년 10월 04일","221.93","218.92","221.99","215.53","129.78K","-3.68%"
"2011년 09월 30일","230.41","228.79","231.23","226.61","128.25K","0.02%"
"2011년 09월 29일","230.37","222.51","230.54","221.76","142.38K","2.93%"
"2011년 09월 28일","223.82","227.28","228.95","223.82","140.27K","-0.65%"
"2011년 09월 27일","225.29","221.23","225.37","219.76","141.05K","5.19%"
"2011년 09월 26일","214.18","221.85","221.96","212.92","170.28K","-2.03%"
"2011년 09월 23일","218.62","223.64","224.80","218.58","172.81K","-5.79%"
"2011년 09월 22일","232.05","233.20","234.77","230.02","124.63K","-3.11%"
"2011년 09월 21일","239.51","238.08","241.85","236.57","117.47K","0.83%"
"2011년 09월 20일","237.53","235.29","238.11","231.55","119.24K","0.94%"
"2011년 09월 19일","235.32","234.58","237.50","233.74","112.10K","-0.92%"
"2011년 09월 16일","237.50","234.94","238.49","233.32","157.88K","3.90%"
"2011년 09월 15일","228.58","231.65","233.01","224.54","140.74K","1.52%"
"2011년 09월 14일","225.15","231.92","232.68","224.16","119.11K","-3.53%"
"2011년 09월 09일","233.40","234.09","238.51","233.40","122.06K","-2.13%"
"2011년 09월 08일","238.47","239.55","239.64","235.48","143.19K","1.00%"
"2011년 09월 07일","236.12","232.72","236.15","231.04","113.52K","4.18%"
"2011년 09월 06일","226.65","224.46","229.82","223.18","121.42K","-0.98%"
"2011년 09월 05일","228.89","234.93","235.03","228.89","109.88K","-4.69%"
"2011년 09월 02일","240.16","241.18","243.76","238.42","99.29K","-0.91%"
"2011년 09월 01일","242.37","243.07","248.84","241.95","156.98K","0.09%"
"2011년 08월 31일","242.16","237.91","242.16","236.59","117.00K","1.90%"
"2011년 08월 30일","237.64","239.13","240.47","236.72","139.13K","0.79%"
"2011년 08월 29일","235.78","232.80","236.95","229.94","127.17K","2.96%"
"2011년 08월 26일","229.00","225.55","229.73","225.54","93.88K","0.87%"
"2011년 08월 25일","227.02","230.30","232.00","226.73","117.59K","0.84%"
"2011년 08월 24일","225.14","229.56","231.08","223.52","147.35K","-1.31%"
"2011년 08월 23일","228.12","222.30","229.17","220.38","152.42K","4.09%"
"2011년 08월 22일","219.15","224.62","225.49","218.09","141.17K","-1.72%"
"2011년 08월 19일","222.98","228.95","229.75","222.95","178.20K","-6.43%"
"2011년 08월 18일","238.31","243.15","243.61","234.93","159.36K","-2.10%"
"2011년 08월 17일","243.43","240.68","245.62","240.61","112.89K","0.50%"
"2011년 08월 16일","242.23","238.06","242.23","237.75","123.79K","5.14%"
"2011년 08월 12일","230.38","237.41","237.94","229.77","174.90K","-1.61%"
"2011년 08월 11일","234.14","223.79","236.60","223.79","172.41K","0.39%"
"2011년 08월 10일","233.23","243.34","243.36","232.75","207.04K","-0.12%"
"2011년 08월 09일","233.52","234.26","237.55","218.66","268.50K","-3.68%"
"2011년 08월 08일","242.45","248.34","251.38","233.89","204.76K","-3.75%"
"2011년 08월 05일","251.90","251.09","255.15","249.32","181.49K","-3.69%"
"2011년 08월 04일","261.54","267.78","268.35","261.00","119.18K","-2.34%"
"2011년 08월 03일","267.80","269.80","270.14","266.81","125.31K","-2.76%"
"2011년 08월 02일","275.40","279.54","279.88","274.71","129.09K","-2.46%"
"2011년 08월 01일","282.36","280.86","282.79","280.55","102.25K","1.89%"
"2011년 07월 29일","277.11","280.52","280.52","277.05","127.53K","-1.05%"
"2011년 07월 28일","280.04","277.89","280.76","277.87","107.03K","-0.94%"
"2011년 07월 27일","282.70","279.54","282.77","279.49","108.20K","0.23%"
"2011년 07월 26일","282.04","281.34","282.04","279.19","120.05K","0.85%"
"2011년 07월 25일","279.66","280.00","280.47","279.00","100.12K","-1.04%"
"2011년 07월 22일","282.59","281.51","282.73","280.37","121.55K","1.21%"
"2011년 07월 21일","279.20","280.19","280.47","277.90","107.09K","-0.43%"
"2011년 07월 20일","280.41","280.54","281.43","279.57","133.54K","1.38%"
"2011년 07월 19일","276.58","276.16","278.08","275.75","103.21K","-0.05%"
"2011년 07월 18일","276.71","279.93","279.93","275.71","105.94K","-1.03%"
"2011년 07월 15일","279.59","276.98","279.59","276.86","108.65K","0.56%"
"2011년 07월 14일","278.03","276.74","278.03","274.61","139.76K","-0.10%"
"2011년 07월 13일","278.32","276.83","278.38","275.52","135.52K","0.88%"
"2011년 07월 12일","275.90","278.96","279.77","275.77","117.13K","-2.32%"
"2011년 07월 11일","282.46","284.22","284.78","281.73","96.27K","-1.26%"
"2011년 07월 08일","286.05","287.73","287.73","285.07","172.42K","-0.01%"
"2011년 07월 07일","286.07","284.41","286.86","284.06","152.46K","0.33%"
"2011년 07월 06일","285.12","283.08","285.12","282.93","123.08K","0.44%"
"2011년 07월 05일","283.88","282.10","284.11","281.61","123.47K","0.78%"
"2011년 07월 04일","281.67","281.28","282.85","281.13","136.28K","1.04%"
"2011년 07월 01일","278.77","277.90","279.69","277.34","111.59K","1.31%"
"2011년 06월 30일","275.17","275.82","276.08","274.02","106.21K","0.20%"
"2011년 06월 29일","274.61","275.33","275.47","273.06","114.35K","1.55%"
"2011년 06월 28일","270.41","274.37","275.59","270.41","119.45K","-0.38%"
"2011년 06월 27일","271.44","272.23","272.42","269.68","78.39K","-1.05%"
"2011년 06월 24일","274.31","270.49","274.31","270.20","125.72K","1.85%"
"2011년 06월 23일","269.34","268.35","270.77","268.29","89.40K","-0.51%"
"2011년 06월 22일","270.71","271.25","272.39","270.18","118.05K","0.77%"
"2011년 06월 21일","268.65","267.27","269.24","264.28","100.01K","1.61%"
"2011년 06월 20일","264.39","266.41","268.26","264.05","90.68K","-0.69%"
"2011년 06월 17일","266.22","270.18","270.33","263.02","138.04K","-0.99%"
"2011년 06월 16일","268.88","270.59","272.08","268.42","88.88K","-2.06%"
"2011년 06월 15일","274.53","275.12","275.26","271.51","93.81K","0.31%"
"2011년 06월 14일","273.67","269.26","274.54","268.49","100.05K","1.44%"
"2011년 06월 13일","269.79","266.81","270.76","266.44","90.94K","0.28%"
"2011년 06월 10일","269.04","274.38","275.60","268.76","121.66K","-1.25%"
"2011년 06월 09일","272.44","273.55","274.84","271.79","110.10K","-0.74%"
"2011년 06월 08일","274.46","277.39","278.26","272.68","103.49K","-0.91%"
"2011년 06월 07일","276.97","276.00","277.88","275.92","94.50K","-0.67%"
"2011년 06월 03일","278.84","279.98","281.11","278.06","98.78K","0.03%"
"2011년 06월 02일","278.76","277.07","280.73","276.37","111.43K","-1.41%"
"2011년 06월 01일","282.75","282.92","284.34","281.45","129.26K","-0.00%"
"2011년 05월 31일","282.76","277.73","283.92","277.44","136.90K","2.33%"
"2011년 05월 30일","276.32","279.25","279.37","275.10","86.82K","-0.37%"
"2011년 05월 27일","277.35","275.62","278.97","275.26","96.28K","0.37%"
"2011년 05월 26일","276.33","271.99","276.68","271.38","96.15K","2.87%"
"2011년 05월 25일","268.62","273.52","274.74","267.77","94.77K","-1.16%"
"2011년 05월 24일","271.78","270.87","273.27","270.40","87.04K","0.22%"
"2011년 05월 23일","271.19","277.08","277.08","271.19","95.18K","-2.66%"
"2011년 05월 20일","278.59","277.26","278.81","274.89","96.78K","0.77%"
"2011년 05월 19일","276.47","282.39","282.73","275.98","112.88K","-1.88%"
"2011년 05월 18일","281.76","278.22","282.24","277.53","97.49K","1.66%"
"2011년 05월 17일","277.15","277.13","278.19","275.57","94.32K","-0.03%"
"2011년 05월 16일","277.22","277.53","278.85","276.39","104.27K","-0.85%"
"2011년 05월 13일","279.59","281.27","281.56","277.50","145.73K","-0.15%"
"2011년 05월 12일","280.02","282.52","283.98","280.02","134.84K","-2.19%"
"2011년 05월 11일","286.30","285.66","286.30","283.36","104.69K","1.31%"
"2011년 05월 09일","282.59","285.16","285.80","282.22","91.28K","-0.38%"
"2011년 05월 06일","283.68","284.54","285.15","281.93","124.22K","-1.66%"
"2011년 05월 04일","288.46","290.87","291.49","287.43","132.93K","-1.09%"
"2011년 05월 03일","291.65","294.85","295.51","289.94","126.17K","-1.25%"
"2011년 05월 02일","295.35","291.93","295.37","291.88","120.03K","1.71%"
"2011년 04월 29일","290.39","292.37","293.76","288.35","170.79K","-0.60%"
"2011년 04월 28일","292.15","293.23","294.42","290.24","157.39K","0.02%"
"2011년 04월 27일","292.08","294.05","295.16","290.04","190.61K","0.24%"
"2011년 04월 26일","291.38","293.04","293.59","290.04","165.64K","-0.45%"
"2011년 04월 25일","292.69","291.72","293.01","290.82","121.84K","0.64%"
"2011년 04월 22일","290.84","291.43","292.20","289.86","140.82K","-0.11%"
"2011년 04월 21일","291.16","289.99","293.16","289.09","191.07K","1.38%"
"2011년 04월 20일","287.19","283.63","287.23","282.54","162.55K","2.41%"
"2011년 04월 19일","280.43","279.36","282.12","278.83","146.58K","-0.61%"
"2011년 04월 18일","282.14","283.58","283.98","280.76","147.75K","-0.23%"
"2011년 04월 15일","282.80","282.36","283.23","280.83","125.55K","-0.12%"
"2011년 04월 14일","283.15","279.89","283.15","278.65","148.80K","0.88%"
"2011년 04월 13일","280.68","276.50","280.68","275.12","117.66K","1.65%"
